dataset_id,last_name,given_name,ORCID,affiliation,additional_role
ABRS_1981,Gallagher,Rachael,0000-0002-4680-8115,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
ABRS_2022,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
ABRS_2023,Coleman,David,0000-0002-1773-6597,"Evolution & Ecology Research Centre, School of Biological, Earth, and Environmental Sciences, UNSW Sydney, Australia",contact
Ahrens_2019,Ahrens,Collin W.,0000-0002-0614-9928,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",contact
Ahrens_2019,Rymer,Paul D.,0000-0003-0988-4351,"Hawkesbury Institute for the Environment, Western Sydney University, Australia",
Ahrens_2019,Mazanec,Richard,0000-0002-4332-887X,"Biodiversity and Conservation Science, Department of Biodiversity, Conservation and Attractions, WA, Australia",
ANBG_2019,Guja,Lydia,0000-0001-5945-438X,"Centre for Australian National Biodiversity Research (a joint venture between Parks Australia and CSIRO), Canberra, ACT, Australia",contact
ANBG_2019,Clinton,Brook,,"Centre for Australian National Biodiversity Research (a joint venture between Parks Australia and CSIRO), Canberra, ACT, Australia",
ANBG_2019,North,Tom,,"Centre for Australian National Biodiversity Research (a joint venture between Parks Australia and CSIRO), Canberra, ACT, Australia",
ANBG_2019,Fuchs,Anne,0000-0001-5737-8803,"Centre for Australian National Biodiversity Research (a joint venture between Parks Australia and CSIRO), Canberra, ACT, Australia",
Andrew_2022,Andrew,Samuel,0000-0003-4589-2746,"CSIRO Land and Water, Australia",
Andrew_2022,Arnold,Pieter,0000-0002-6158-7752,"The Australian National University, Australia",contact
Angevin_2011,Angevin,Tara,,"La Trobe University, Australia",contact
Angevin_2011,Morgan,John,0000-0003-2003-5983,"La Trobe University, Australia",
Apgaua_2015,Apgaua,Deborah,0000-0002-6303-6989,"Centre for Rainforest Studies, School for Field Studies, Yungaburra, Queensland 4872, Australia",contact
Apgaua_2015,Tng,David Yue Phin Jeremiah-Seok,0000-0001-5135-0922,"Centre for Rainforest Studies, School for Field Studies, Yungaburra, Queensland 4872, Australia",
Apgaua_2015,Laurance,Susan,0000-0002-2831-2933,"James Cook University, Australia",
Apgaua_2017,Apgaua,Deborah,0000-0002-6303-6989,"Centre for Rainforest Studies, School for Field Studies, Yungaburra, Queensland 4872, Australia",contact
Apgaua_2017,Tng,David Yue Phin Jeremiah-Seok,0000-0001-5135-0922,"Centre for Rainforest Studies, School for Field Studies, Yungaburra, Queensland 4872, Australia",
Apgaua_2017,Laurance,Susan,0000-0002-2831-2933,"James Cook University, Australia",
Arnold_2021,Arnold,Pieter,0000-0002-6158-7752,"The Australian National University, Australia",contact
Arnold_2021,Nicotra,Adrienne,0000-0001-6578-369X,"The Australian National University, Australia",
Arnold_2022,Arnold,Pieter,0000-0002-6158-7752,"The Australian National University, Australia",contact
Arnold_2022,Nicotra,Adrienne,0000-0001-6578-369X,"The Australian National University, Australia",
Arnold_2024,Arnold,Pieter,0000-0002-6158-7752,"The Australian National University, Australia",contact
Arnold_2024,Nicotra,Adrienne,0000-0001-6578-369X,"The Australian National University, Australia",
